질문,디렉토리
3199,세류역 천안행막차,세류동
3200,까지산역에서봉천까지막차시간은?,"시내, 광역 버스"
3201,미아사거리에서 4.19국립묘지사거리 버스...,"시내, 광역 버스"
3202,지하철1호선막차시간,천안시
3203,오늘 서울역에서 청량리가는 버스 막차 시...,"교통, 길찾기"
3204,6637버스 막차시간,"시내, 광역 버스"
3205,강서구청에서 하는 2016년 사계절 멘토링...,화곡동
3206,1150버스,서울특별시
3207,전입신고 투표,선거
3208,서울시 거여2동 거여6단지 아파트 603동 10...,서울특별시
3209,가족관계 증명서 무인민원발급기,가족관계 증명민원
3210,서울강서구 강서구청에서 하는 사계절 멘토...,화곡동
3211,등촌동에 무인민원발급기 위치좀 알려주세...,생활
3212,자동차검사소 자동차등록증 없이되나요,자동차
3213,홍은3동 주민센터 급⭐️⭐️⭐️⭐️⭐️...,"민원, 행정"
3214,구청의 다양한 서비스?,서비스업
3215,분식점 이전시 구청 세무서 필요한서류,"관광, 요식업"
3216,보건증 에이즈검사,의료보건제도
3217,보건증 매년마다 해야하나요,의료보건제도
3218,보건증관련질문,의료보건제도
3219,국약고 가까운 역,강남역
3220,강남역에서 서울역 가는 방법,역삼동
3221,7612 막차,홍대입구
3222,천안에서 서울까지 급행 노선,태평로
3223,서울 다문화가정 혜택 뭐뭐있나요?,서울특별시
3224,서울 잠실,잠실동
3225,신림동 5519번 버스 노선 및 정차역,신림동
3226,서울 지하철 노선 질문~~ 양재역에서 홍대...,양재동
3227,서울역~신논현 뻐스노선,논현동
3228,토요일 근무 구청,서울특별시
3229,꿈나무카드,음식
3230,급) 꿈나무카드 새벽에 사용 가능한가요?,생활
3231,보건소 일번뇌염 주사!!!,일본
3232,경복궁 야간개장 예매 문의요,서울특별시
3233,보건증 재발급,의료보건제도
3234,보건증 기한남았는데 새로 발급,의료보건제도
3235,광진구청출근시간,광진구
3236,송파구청 개명신고 !!!! 도와주세요,제신고 민원
3237,강변역에서 명일역까지 외선순환을 탈까요...,명일동
3238,디지털미디역에서경의선용산가는시간표,용산구
3239,신림역에서 신림동 청담고시원까지 가는 N...,신림동
3240,서울역에서,소공동
3241,서울시 힐링버스,서울특별시
3242,양천도서관 열람실,목동
3243,지하철노선,잠실동
3244,까치산역에서 방배역,화곡동
3245,구로구 오류동 동사무소 인쇄 되나요,오류동
3246,녹번에서 홍대가는버스길,홍대입구
3247,아현역 근처 유기견 봉사활동,"개, 강아지"
3248,고속터미널에서 이태원역과 용산역 중 더...,"교통, 길찾기"
3249,무인발급기에서 결혼증명서 뽑을수 있나요?,"연애, 결혼"
3250,남부터미널 무인민원발급기,가족관계 증명민원
3251,당일 주소이전하고 새 주소지에서 투표 가...,"민원, 행정"
3252,공공근로하면서다른아르바이트도 해도 되나...,근로기준
3253,서울시 건강가정 지원센터,"출산, 산후조리"
3254,주민센터에서 폐기물스티커살때요,제신고 민원
3255,서대문구 합동으로 이사를 왔는데 전입신고...,이사
3256,"동사무소 거주지 변경,이전",사무지원
3257,입영 사실 확인서를 동사무소에서도 뗄 수...,"입영 신청, 연기"
3258,보건증 찾으러 가는 것,의료보건제도
3259,보건증발급,주민등록증 발급
3260,생일 안 지난 18살 보건증 발급 가능한가요...,취미
3261,보건증재발급,의료보건제도
3262,보건증 받을때,주민등록증 발급
3263,영등포구 보건소분소,비뇨기과
3264,보건소 성병검사,비뇨기과
3265,밤12시넘어서 종각에서 창동까지 오는 버스...,창동
3266,남영역에서 서울남부시외버스터미널 가는법,남영동
3267,반포지구 분수,서울여행
3268,N26버스 소요시간,"시내, 광역 버스"
3269,서울 성동구청전화번호알기,전화통신
3270,화랑대역에서 노원정보도서관 가는길(방법),노원구
3271,대관장소 문의,삼성동
3272,마포에 있는 벼룩시장 참여방법 좀 알려주...,마포구
3273,여의도한강 전동킥보드 대여,한강로
3274,평일 아침 9시 병원진료로 서울역에서 아산...,서울특별시
3275,여성안심택배,택배
3276,미성년자도 가족관계 증명서 땔수있나요?,"민원, 행정"
3277,3호선막차,제신고 민원
3278,천안에서울가는막차열차,"기차, KTX"
3279,어린이대공원 폐장시간,지금동
3280,롯데월드에서 집까지 버스나 지하철로 내공...,여행
3281,여권 만들때필요한것  알려주세요,"여권, 비자 민원"
3282,아 여권 받는데 얼마나걸리냐,"여권, 비자 민원"
3283,대형가구 버리려면,연남동
3284,창경궁 야간개장 방문 시 신분증 문의 드립...,"놀이공원, 워터파크"
3285,창경궁 야간개장 방문 시 신분증 문의 드립...,"놀이공원, 워터파크"
3286,청소년증 어떻게 만들어요?,안드로이드폰
3287,무인발급기에서 가족관계증명서??,가족관계 증명민원
3288,서울시에서 약 30명~50명 사이 대관할수 있...,태평로
3289,서울시청 신청사 하늘광장 전시 시간 문의,"체험관광지, 유적지"
3290,보건증 채변검사,의료보건제도
3291,보건증이 뭐예요?,의료보건제도
3292,보건증에대해,의료보건제도
3293,보건소 토요일 아예 안 여나요?,의료보건제도
3294,보건소 임시보건증,"신체검사, 병역판정"
3295,도봉보건소 토요일,"의료기관, 의료인"
3296,보건소에서 보건증 만들때 청소년신분증은?,제신고 민원
3297,구의역2번출구는 자양몇동?,자양동
3298,행복한 가게 마라톤 대회,서울특별시
3299,영등포구청?,당산동
3300,우장산역에서 이대목동병원 가는 방법,서울특별시
3301,서울 중랑구청에 헬스장있나요?,중랑구
3302,일반음식점 첫개점시 온라인 위생교육 가능...,"음식점, 맛집"
3303,행복한 가게 마라톤 대회,서울특별시
3304,보건증 발급 질문합니다.,"의료기관, 의료인"
3305,아르바이트하려면 보건증 있어야 된다는데...,아르바이트
3306,보건증 발급,의료보건제도
3307,신당역에서 양제역 가는 버스,신당동
3308,(100내공)길좀가르쳐주세요,창동
3309,방학동에서실도림역까지시간,방학동
3310,서울 다른지역 쓰레기 봉투,금천구
3311,서대문구 북아현동 134-11번지가 북아현동...,서대문구
3312,서교동 요일별 쓰레기 버리는 날,서교동
3313,옥수자전거대여소 부모님 신분증으로 자전...,옥수동
3314,도봉구 봉사활동,도봉구
3315,오산역에서 영등포역 가는법,영등포구
3316,홍대에서 회기 심야버스,홍대입구
3317,"강북,강남",서울특별시
3318,고등학생인데요,고등학교교육
3319,물빛광장 이용시간,서울특별시
3320,외국인등록증 주소변경,"신용, 파산"
3321,광진구 군자동에서 용산구로 이사가는데요....,용산구
3322,보건증문의요,기타
3323,은평구청 주말주차요금은?,서울특별시
3324,주민등록증 기간,LG
3325,여의도 한강공원,"놀이공원, 워터파크"
3326,남산타워 가는길,자동차
3327,마포대교 생명의 다리가 어디죠? 교통편은?,생활
3328,아동급식카드,복지
3329,아동급식카드,"아동, 청소년 복지"
3330,문화누리카드 만화책,신용카드
3331,문화누리카드 사용가능합니까.,화순읍
3332,문화누리카드홈페이지,초고속인터넷
3333,문화누리 카드질문이요,제신고 민원
3334,코엑스 영풍문고 문화누리카드,피부과
3335,문화누리카드,안산시
3336,#문화누리카드발급,그래픽카드
3337,문화누리카드 온라인 사용등록 방법 자세히...,신용카드
3338,문화누리카드 회원탈퇴를 하고 재가입할려...,회원정보 사용법
3339,문화누리카드에 있는 5만원 아직 안썼는데...,국민기초생활보장
3340,문화누리카드 체험 가맹점과 예약방법,광주광역시
3341,문화누리카드로,"예약, 예매"
3342,산본역에서 용산역갈때 무슨행이고 돌아올...,역삼동
3343,동서울 터미널에서 남부터미넣 가는방법 좀...,서울특별시
3344,아차산역 무인발급기,서울특별시
3345,천안에서 서울 노원가는방법,서울여행
3346,문화누리카드로 병원은 되나요?,국민기초생활보장
3347,청소년증 발급할때,생활
3348,민방위훈련질문,기초군사훈련
3349,민방위훈련받을때,예비군훈련
3350,민방위 일정이 있는데 시간이안됩니다,민방위훈련
3351,민방위 훈련-   장소  변경가능한가요?,민방위훈련
3352,민방위 불참 벌금문의요 내공있음,제신고 민원
3353,이름 개명후 자동차 등록증재발급,자동차
3354,욍십리역에서수원막차,수원역
3355,마석역에서 태평역가는막차,"기차, KTX"
3356,정발산역에서 한성대입구 막차!,"교육, 학문"
3357,지하철 막차시간 알려주는 앱있나요?강남에...,"교통, 길찾기"
3358,동대문에서 중화동 가는105번 막차시간표,"쇼핑몰, 시장"
3359,서울 노원구 09마을버스 막차시간,노원구
3360,수색역앞에서 백석가는버스 막차시간,"시내, 광역 버스"
3361,시청서 지하철 안양 막차 시간,"교통, 길찾기"
3362,공공자전거 시민지킴이 이것도 시급인가요?,태평로
3363,지금 급해요~~,서울특별시
3364,삼성역 무인발급기,서울특별시
3365,경복궁 야간개장 티켓 양도에 대해 좀 알여...,"체험관광지, 유적지"
3366,경복궁야간개장타인,"공연, 영화"
3367,경복궁 야간개장티켓환불되나요,"엔터테인먼트, 예술"
3368,옥션에서 경복궁 예매 어디서 해요? 못찾겠...,"공연, 영화"
3369,무인민원발급기에서 대학교 성적 증명서 발...,"가족, 개인 민원"
3370,장승베기에서 금천구청 버스,"시내, 광역 버스"
3371,보건증 유효기간,의료보건제도
3372,보건소 성병검사시 필요한 신분증에 관하여...,의료보건제도
3373,TD보건소,소아청소년과
3374,보건소 보건증 검사받을수 있는시간,의료보건제도
3375,여의도 벚꽃축제 가는길,여행
3376,공덕에서 용산역까지 택시로...,공덕동
3377,용산구 종량제50l봉투값?,이태원동
3378,잠실체육관에서 서울고속버스터미널까지,잠실동
3379,강변역에서 동대문역,"교통, 길찾기"
3380,금천구보건소 - 독산분소에서 체지방 측정...,금천구
3381,사울시노원구청위치,상계동
3382,사울시노원구청위치,노원구
3383,은평구세무소서대문세무소같이세무일을보는...,은평구
3384,여의도공원 벚꽃,개화동
3385,서울시구청별위치지도,서울여행
3386,서울시 청년 수당에 대해,"직업, 취업"
3387,여성안심택배함,"가족, 개인 민원"
3388,여성안심택배 주말에,택배
3389,여성안심택배함 비밀번호 분실시 어떻게해...,여성복지
3390,여성 안심 택배,제신고 민원
3391,대치4동 주민센터에 여성안심택배보관함 있...,택배
3392,서울남부터미널에서 가까운 동사무소좀알려...,"시외, 고속 버스"
3393,동사무소에서 대학교 성적증명서 뽑는다고...,"민원, 행정"
3394,서울 관악구 봉천동 주변에 동사무소 위치...,서울특별시
3395,보건증 준비물,의료보건제도
3396,보건증 발급,의료보건제도
3397,보건증 질문,의료보건제도
3398,보건증 발급,의료보건제도
3399,2001년생 보건증,소득세
3400,보건증다른곳에서받아도될까요??,제신고 민원
3401,보건증 종이잃어버렷어요,의료보건제도
3402,미성년자 보건증(청소년),의료보건제도
3403,관악 보건소,건강
3404,제일병원에서구의역까지,구의동
3405,성북구 정릉동 보건증,성범죄
3406,보건증발급,의료보건제도
3407,고척동 보라매역노선,고척동
3408,서울 송파근처에 복사하는곳 알려주세요,송파구
3409,강북구청이나 수유역근처에 복사하는곳이요,수유동
3410,목동 파리공원 벼룩시장은 언제 열리나요?,목동
3411,심야시간에 용산역에서 응암역,강남역
3412,마포대교생명의다리 철거됬ㄷ나요?,서울특별시
3413,홍대 야간버스,홍대입구
3414,막차질문 합니다,신천동
3415,강북보건소 막달검사,강북구
3416,동대문ddp장미 3월25일에 가려고하는데 그...,동대문구
3417,신평에서남산동전철몇분,남산동
3418,논헌역에서서울역까지시간,서울특별시
3419,원효로1동 쓰레기 배출하는 날짜가 언제에...,원효로
3420,사당에서 용산가는 첫차가 몆시에 있나요,"교통, 길찾기"
3421,여성안심귀가서비스,기타
3422,버스비와 마을버스비,"시내, 광역 버스"
3423,관악구 관할법원,관악구
3424,동대문ddp 장미정원 아직도 점등되나요??,서울특별시
3425,개별주택확인서 떼려는데 구청 어느 창구로...,건축학
3426,문화누리카드 핫트랙스 결제가능한가요?,"문구, 미술용품"
3427,문화 누리카드 서점에서 책사는거랑 영화보...,그래픽카드
3428,문화누리 카드 핫트랙스 문구류 결제 사용...,복지
3429,문화누리카드를 홍대상상마당에서 쓸수있을...,신용카드
3430,문화누리카드,"문구, 미술용품"
3431,문화누리카드 사용,문화동
3432,제가 오늘 문화누리카드를잃어버렷습니다....,제신고 민원
3433,문화누리카드 사용처,"문구, 미술용품"
3434,문화누리카드,사회복지
3435,문화누리카드로도결제가되나요??,그래픽카드
3436,문화누리카드,그래픽카드
3437,문화누리카드로 롯데월드,롯데자이언츠
3438,강남세브란스무인등발급기,기타
3439,청소년증재발급,"가족, 개인 민원"
3440,임시청소년증,가족관계 증명민원
3441,디지털미디어시티역 9714번 버스 막차도착...,상암동
3442,은평구 신사2동  음식물쓰레기 배출방법,신사동
3443,양재시민의숲 at센터가는길,양재동
3444,올림픽공원에서 청량리역까지,청량리동
3445,생명의다리 언제 철거하나요?,"생물학, 생명공학"
3446,마포대교 생명의 다리,기타
3447,의정부역에서 쌍문역 가는 버스 첫차 시간...,의정부동
3448,평일김포공항~평택행전철 막차시간표,"게임리그, 게이머"
3449,목동우성아파트 6638 막차 몇시인가요????,"시내, 광역 버스"
3450,7021버스나 7612버스 홍남교에서 막차시간...,"시내, 광역 버스"
3451,1호선지하철 막차,"교통, 길찾기"
3452,역곡에서운정오는막차,"시내, 광역 버스"
3453,동교동삼거리 에서 용산방향 740 막차 몇시...,"교통, 길찾기"
3454,서울 동교동삼거리에서 용산방향740 버스...,"교통, 길찾기"
3455,보건증 장티푸스 검사할 때,건강
3456,안녕하세요 보건증 문의입니다.,의료보건제도
3457,미성년자보건증재발급,의료보건제도
3458,보건증 질문이요,의료보건제도
3459,롯데리아 알바 보건증,"신체검사, 병역판정"
3460,검강검진 구(보건증),의료보건제도
3461,보건소가면 인바디측정해주나요,의료보건제도
3462,서울시청 일반인 출입,여의도동
3463,동대문 DDP LED 장미정원 전시일정에...,동대문구
3464,행신역에서 서강대역까지,행신동
3465,지하철 막차,서울여행
3466,강남역 9번출구 앞 정류장에서 740번 막차...,"교통, 길찾기"
3467,가족관꼐증명서 무인발급기 급해요ㅠㅠ,스마트폰
3468,확정일자 무인발급기 출력 가능한가요?,"부동산, 건축 민원"
3469,급해요!! 삼성역 에 무인민원발급기있나요?...,삼성동
3470,장애인 복지카드 발급받는법,장애인복지
3471,장애인등록징 집으로 온다고 하는데 아진...,의료상담
3472,주민센터무인발급기 24시간인가요,주민등록증 발급
3473,아버지 초본을 동사무소가서 발급받아야하...,가족관계 증명민원
3474,충정로5호선에서 제일 가까운 동사무소가...,충정로
3475,동대문구청정보화교육안내,보안
3476,"서울시청, 구청, 동사무소는 주말에도 근무...",공무원
3477,강서구청에서수영안하나요,강서구
3478,보건증 신분증 사진,의료보건제도
3479,#통반찾기!,문서관리소프트웨어
3480,영등포구 신길동/당산동 쓰레기 수거일 알...,신길동
3481,상록수에서서초역 700번 소요시간요금,서초구
3482,서울 은평구 구산동 -21-51호  길찾기,구산동
3483,경기도 행신동에서 신촌가는 버스나 지하철...,노고산동
3484,종량제 봉투 질문드립니다,신사동
3485,기숙사에서 건강진단서를 내라고하는데 건...,"의료기관, 의료인"
3486,보건증 발급할때,의료보건제도
3487,보건소보건증,"의료기관, 의료인"
3488,수서보건소진료시간,의료보건제도
3489,출생신고전 보건소예방접종,의료보건제도
3490,보건소 카드결제,의료보건제도
3491,보건소에 보건증떼러갈건데요,의료보건제도
3492,토요일 강서구 보건소 성인 예방 접종 가능...,화곡동
3493,ddp 장미정원,무역
3494,ddp장미정원 없어졌나요?,생활
3495,동대문 장미정원,동대문구
3496,구로역 무인등본발급기,구로동
3497,신중동에서회연역가려면,강남역
3498,보문역 버스 273첫차,보문동
3499,여의도 속마음버스,서울특별시
3500,동대문 ddp led장미공원,"쇼핑몰, 시장"
3501,동대문 ddp led 장미정원 시간관련,동대문구
3502,서울시 양천구 목동 948은 어느 주민센터...,이사
3503,종합운동장에서 고속터미널,서울특별시
3504,기본증명서 관악구청 동작구청에서 무인발...,가족관계 증명민원
3505,서울시 여성안심택배 보관함 수수료 질문,여성복지
3506,주민센터 청소년증 발급 질문,주민등록증 발급
3507,1호선 첫차,"교통, 길찾기"
3508,막차부평역사 시간알러주세요,역사학
3509,지하철 막차 시간계산,"교통, 길찾기"
3510,703버버스환승센타에막차시간,"교통, 길찾기"
3511,106번방학동홈플러스에서 의정부막차,"시내, 광역 버스"
3512,영업폐업신고 민원24이용방법,제신고 민원
3513,공휴일 서울 어린이대공원 급함!!!,"동물원, 식물원"
3514,어린이대공원 토끼위치,국내여행
3515,경희궁으로 들어가는 입구가 서울 역사 박...,"사회, 도덕"
3516,창덕궁 야간개장,"체험관광지, 유적지"
3517,경복궁 야간개장 예매 꼭 해야하나요?,여행
3518,경복궁 경회루 특별관람 2016년에도 시행하...,"체험관광지, 유적지"
3519,경복궁 야간개장,"공연, 영화"
3520,채용검진서랑 보건증,내과
3521,광화문역근처에601번뻐스잇나요,강남역
3522,동대문 DDP,을지로
3523,N13번버스 시간과 정류장위치 @@내공95...,동대문구
3524,광진구 화양동 주민센터,화양동
3525,공휴일 주민센터 무인발급기,주민등록증 발급
3526,동주민센터(동사무소) 주민등록등본,주민등록증 발급
3527,동사무소가서 졸업예정증명서 뽑아야하는데...,사무지원
3528,동네cctv구청어느곳으로문의,정부기관
3529,보건증 대리수령,의료보건제도
3530,보건증 재발급은 같은보건소만되나요?,의료보건제도
3531,용산구보건소 임산부 전입신고후,임신
3532,강서보건소에 악력측정기 있나요?,건강
3533,보건소 건강진단서 발급받을때(내공100),건강
3534,이대역 신도림 소요시간,신도림동
3535,소사역에서 2호선강남역 가는법좀요~ㅠㅠ,강남역
3536,서울 종묘공원 언제 오픈하나요???,태평로
3537,서초벼룩시징 어제부터 열리나요,서초구
3538,서초벼룩시장 언제부터 열리나요?,서초구
3539,서초벼룩시징 어제부터 열리나요,서초구
3540,성북구 길음동 에서 마포구 염리동 까지 거...,길음동
3541,마포대교 생명의 다리,마포구
3542,b형간염예방접종,감염내과
3543,b형간염 2차접종시기,소아청소년과
3544,B형간염주사,건강
3545,서울지하철처음타요ㅜ,"시내, 광역 버스"
3546,141번망및첫차,"시내, 광역 버스"
3547,6516번 신길동새마을금고정류장에 첫차몇시...,금융
3548,6516신길동 새마을금고정류장에 첫차몇시에...,금융
3549,주민등록증,취미
3550,주민등록증만들려면준비물,"교육, 학문"
3551,제가 98년 3월 6일생인데 주민등록증 벌금...,제신고 민원
3552,프린터 등본,수학
3553,주민등록등본 인터넷발급 공휴일에도 되나...,초고속인터넷
3554,등본아무때나 땔수있나요?,"교육, 학문"
3555,등본 알려주세요,가족관계 증명민원
3556,인감증명서 대리발급 필요한 것 뭐가 있나...,주민등록증 발급
3557,부모님 인감증명서 대리 발급,"가족, 개인 민원"
3558,여권발급이요,"여권, 비자 민원"
3559,여권 비용 질문,"여권, 비자 민원"
3560,여권 만료기간이 얼마나 돼요?,여행
3561,여권에관하여질문,동래구
3562,여권대리발급,제신고 민원
3563,여권???,"여권, 비자 민원"
3564,보건소 차과치료내용,의료보건제도
3565,서울 택시 요금,국내여행
3566,주민등록증,주민등록증 발급
3567,경복궁야간개장 티켓발부,"놀이공원, 워터파크"
3568,청소년증 만드는법하고 만들수있는 나이,청소년관련법
3569,청소년증 만드는 방법,주민등록증 발급
3570,무인발급기 주민등록본,"민원, 행정"
3571,무인민원발급기,"가족, 개인 민원"
3572,무인민원발급기 등본,"가족, 개인 민원"
3573,민원무인발급기 청소년,"가족, 개인 민원"
3574,신금호역 근처 민원무인발급기,"교통, 길찾기"
3575,보건증알려주세오,의료보건제도
3576,보건증 발급에 대해서요!!,의료보건제도
3577,보건증하고 안받앗는대 한달지난지금 받을...,의료보건제도
3578,보건증 검사항목에서 똥꼬에 면봉으로 하는...,"신체검사, 병역판정"
3579,보건증 발급 관련 질문,"의료기관, 의료인"
3580,보건증 질문드립니다.,제신고 민원
3581,보건소 건강검진...,"의료기관, 의료인"
3582,강서구 우장산동 1159번지 101동 22통 몇반...,강서구
3583,혼인신고관련문의입니다,판교동
3584,이화장2길 쓰레기 배출일자가 궁금합니다~,서울특별시
3585,주민센터 에서 등본,가족관계 증명민원
3586,서류아무동사무소가도되나요?,주민등록증 발급
3587,세입자열람증은 꼭 해당 동사무소에서만 뗄...,임대차
3588,홍대입구에서 영등포구청으로 가는 7612번...,"교통, 길찾기"
3589,"421번버스, 110A, 110B버스 모두 성동구...","시내, 광역 버스"
3590,보건증꼭제가가야받을수있나요?,제신고 민원
3591,보건증발급문의,의료보건제도
3592,보건증 대리수령이요!!!!,의료보건제도
3593,중학생인데 보건소 인바디 해주나요?,중학교교육
3594,중구보건소 결핵진단서 인터넷 발급방법 급...,의료보건제도
3595,도로명 주소통반,제신고 민원
3596,서울동대문지하철,강남역
3597,노원구청 무인발급기에서 기본증명서 되나...,상계동
3598,도봉구 창동역 2번출구에서,창동
3599,마포구 상수동 쓰레기 배출일과 장소,연남동
3600,독산동 보건소,독산동
3601,건대입구에서 신용산역 한번에가는 버스있...,건대입구
3602,통반 문의,서대문구
3603,주민등록증발급,주민등록증 발급
3604,민증을 아직 못만들었습니다..,주민등록증 발급
3605,구청에서 노점 주는거,정부기관
3606,보건증 인터넷 발급,주민등록증 발급
3607,보건증발급에대해서,의료보건제도
3608,건강보험료 체납 보건증발급,대출
3609,보건증 발급시 주민번호뒷자리 다나오나요?,의료보건제도
3610,보건증 재발급이요,생활
3611,보건증 재발급,의료보건제도
3612,알바 보건증에대해,아르바이트
3613,미성년자보건증 유효기간,의료보건제도
3614,보건소 건강검진 기숙사,국민건강보험
3615,보건소에서 건강진단서를 뽑아가야 하는데...,의료보건제도
3616,보건소 검사 무료로 하는법좀요,"신체검사, 병역판정"
3617,보건소에서 건강진단서 찾으려는데요,제신고 민원
3618,보건소 결핵 비형간염 결과조사 몇일걸리죠...,"대학 입시, 진학"
3619,보건소 인바디,의료보건제도
3620,보건소 예방접종 확인서,소아청소년과
3621,당산역 주변에서 졸업증명서 발급,당산동
3622,가양에서동대문가는 야간버스,가양동
3623,저희 집 통반좀알녀주세요,서울특별시
3624,동작구 보건소 이용 가능 대상자 질문입니...,동작구
3625,등본 무인발급기 지문인식,"가족, 개인 민원"
3626,보건소에서 보건증,"의료기관, 의료인"
3627,구로구청등본무인발급기,가족관계 증명민원
3628,서대문구청 야간민원 시간이 변경되었다고...,"가족, 개인 민원"
3629,상암통은 몇통몇반입니까,상암동
3630,개롱역 방화행 시간표,오금동
3631,노원구 월계주공 2단지가 몇통 몇반이죠?,노원구
3632,구로에서 행당동,구로구
3633,광진구청업무시간,자양동
3634,#꿈나무 카드,천호동
3635,동호대교 소등,강남구
3636,용산 보건분소에서 임산부 등록 가능,용산구
3637,강변에서 당산역까지 몇분일까,당산동
3638,통반 찾는법,등촌동
3639,아파트 통반 급합니다!!,부동산
3640,가족관계증명서를 인터넷으로 중학생 자녀...,가족관계 증명민원
3641,서울서대문구홍제1동360-45몇통몇반입니까?,홍제동
3642,통은 아는데 반좀알려주세요?,오정동
3643,뚝섬로 35길 32을 통 반 을 알고 싶습니다.,"교통, 길찾기"
3644,주소: 서울시 성북구 솔샘로 25길 11-11 의...,정릉동
3645,서울 강남구청,제신고 민원
3646,보건증 발급,"의료기관, 의료인"
3647,보건증발급,컴퓨터통신
3648,알바 보건증,고1수학
3649,보건증 질문이요,의료보건제도
3650,종로구 동숭동(혜화) 주민센터는 어디에 있...,동숭동
3651,지구촌나눔한마당축제,서울특별시
3652,서울역은 어느구에속하죠,서울특별시
3653,용산 보건증 발급할수 있는 보건소 위치,청파동
3654,인천 간석동 주변으로 등본무인발급기요,간석동
3655,울산 동구청 시간,의료상담
3656,종로구 명륜2가 일반쓰레기/재활용쓰레기...,명륜동
3657,주민등록증발급,기타
3658,출생 신고 전 예방접종,소아청소년과
3659,강남구 보건소 산전검사,강남구
3660,경복궁 한복,서울여행
3661,세스코본사,"교통, 길찾기"
3662,강변에서세스코본사,"교통, 길찾기"
3663,보건증 발급,"의료, 상해 보험"
3664,삼성역 코엑스 가는길,서울특별시
3665,내부슌환도로 전부 통제중?????,서울특별시
3666,내부순환도로 통제관련 질문!,한국사
3667,정릉고가도로  결함난곳  위치???,정릉동
3668,창경궁 동대문역에서도 갈수 있죠?,"교통, 길찾기"
3669,경복궁 창경궁 야간개장 티켓수령방법,"공연, 영화"
3670,경복궁 야간개장,"체험관광지, 유적지"
3671,경복궁 야간개장 티켓 타인수령,한국사
3672,경복궁 야간개장 발권,"체험관광지, 유적지"
3673,경복궁야간개방 언제부터 해요~??,"스포츠, 레저"
3674,보건증ㅠㅠ,제신고 민원
3675,기숙사에 비형간염이랑 결핵 감염여부가 명...,대학생활
3676,보건소에대한제목,정신건강의학과
3677,보건소에서 간염 검사와 예방접종을 맞으려...,의료보건제도
3678,보건소 금연클리닉,"의료기관, 의료인"
3679,제가 보건소 금연클리닉을다니려고하는데요...,"의료기관, 의료인"
3680,건강진단서 인터넷 발급,의료보건제도
3681,153번 버스홈페이지 알려주세요,"시내, 광역 버스"
3682,코엑스 아티움 가는길,코엑스
3683,노원구 우체국 가는길,노원구
3684,반포한강공원,서울특별시
3685,무료 인바디 측정,강남구
3686,길좀 알 려주세여 ㅠㅠ,성수동
3687,내부순환도로 성동에서 길음램프로 가려면...,"교통, 길찾기"
3688,내부순환로 결함으로 공사하고있는데 결함...,자가용
3689,정릉천고가 지금 통제 왜해요?,정릉동
3690,도로명 상세주소,"학사 행정, 제도"
3691,청년수당신청방법,"직업, 취업"
3692,서울시 청년수당에 관해서,"직업, 취업"
3693,청년수당에 대헤서 알려주세요,서울특별시
3694,서울시 청년수당,"직업, 취업"
3695,수지구청에서 석수역까지,"교통, 길찾기"
3696,보건소 산후도우미 서류 문의,"출산, 산후조리"
3697,보건소건강검진,"의료기관, 의료인"
3698,청소년증가격알고싶어요.증명사진가격도,쥬니버Q&A;
3699,청소년증 발급,생활
3700,청소년증 재발급으로 신청해야 되나요?,신사동
3701,동대문dpp장미,동대문구
3702,지행역에서 용산역 가는 주말 시간표좀요~,용산구
3703,방학역에서구로막차,구로구
3704,(급) 등촌역안에 무인발급기 있나요??,등촌동
3705,신도림에서 역곡 교통비,신도림동
3706,구로에서배방역첫차,배방읍
3707,4호서중무로막차시간표,LG
3708,우장산역에서 의정부역가는 막차,강남역
3709,273번 삼선주민센터(08-176) 첫차시간,서울여행
3710,"청소년 주민센터가서 등본떌떄 ,","이동통신, 휴대전화"
3711,보건증발급,"의료기관, 의료인"
3712,보건소는 대체로 몇시까지 하나요?,"의료기관, 의료인"
3713,내부순환도로 통제때문에 차량 이용을 못할...,"시내, 광역 버스"
3714,마포동두천이동시간,마포구
3715,내부순환!!!!,"시내, 광역 버스"
3716,사당에서 낙성대 입구 막차 시간 어떻게 되...,사당동
3717,정릉천 고가,"민원, 행정"
3718,내부순환도로 통제라고 하던데... 언제까지...,"교통, 길찾기"
3719,온누리상품권 롯데리아,여행상품
3720,온누리상품권,여행상품
3721,온누리상품권현금교환되나요?,여행상품
3722,급합니다 온누리상품권,"쇼핑몰, 시장"
3723,동대문시장 온누리상품권에 대해 질문이 있...,동대문구
3724,급함!!!온누리상품권 가맹점?,"관광, 요식업"
3725,꿈나무카드작액조회어떻게하나요??,서울특별시
3726,내일 동작구청 교복나눔장터요,동작구
3727,정릉천고가 교통통제기간,취미
3728,동사무소 여는시간,사무지원
3729,독감예방주사 금천구청에서 맞아도되나요?,"주사, 약물 요법"
3730,보건증 발급,의료보건제도
3731,보건소 건강진단서 검사결과 언제쯤,"의료기관, 의료인"
3732,강남구 수시동에있는보건소,의료보건제도
3733,보건소 건강진단서,의료보건제도
3734,보건소 보건증발급 질문,의료보건제도
3735,송내역에서 합정역 막차,강남역
3736,월촌중 목동에 있는거 하나뿐이죠???,목동
3737,강변역에서 동작구까지 택시비용이 얼마정...,동작구
3738,종로 3가에서 수유 가는 막차쟈철,종로
3739,정릉천 고가교와 유사한 해외 사례도있을까...,서울특별시
3740,재활용 pp마대,생활
3741,보건증 발급에 관해서요 !!,의료보건제도
